University_link,University_Name,Location,T.H.E.R (2018),Top.U.R(2018),U.S. News & World Report.R(2018)
https://www.mastersportal.com/universities/10798/west-virginia-university.html,West Virginia University,"Morgantown, United States",-,-,-
https://www.mastersportal.com/universities/12158/xiamen-university.html,Xiamen University,"Xiamen, China",-,451,200
https://www.mastersportal.com/universities/11715/yale-university.html,Yale University,"New Haven, United States",-,34,159
https://www.mastersportal.com/universities/13943/anhui-university.html,Anhui University,"Hefei, China",-,-,-
https://www.mastersportal.com/universities/964/aristotle-university-of-thessaloniki.html,Aristotle University of Thessaloniki,"Thessaloníki, Greece",-,301,-
https://www.mastersportal.com/universities/11863/auburn-university.html,Auburn University,"Auburn, United States",-,-,-
https://www.mastersportal.com/universities/9465/ben-gurion-university-of-the-negev.html,Ben-Gurion University of the Negev,"Beersheba, Israel",-,301,-
https://www.mastersportal.com/universities/27/budapest-university-of-technology-and-economics.html,Budapest University of Technology and Economics,"Budapest IX. kerület, Hungary",-,301,-
https://www.mastersportal.com/universities/23/charles-university.html,Charles University,"Prague, Czech Republic",-,251,-
https://www.mastersportal.com/universities/11253/drexel-university.html,Drexel University,"Philadelphia, United States",-,-,-
https://www.mastersportal.com/universities/12054/east-china-normal-university.html,East China Normal University,"Shanghai, China",-,-,-
https://www.mastersportal.com/universities/74/erasmus-university-rotterdam.html,Erasmus University Rotterdam,"Rotterdam, Netherlands",-,-,-
https://www.mastersportal.com/universities/11951/florida-state-university.html,Florida State University,"Tallahassee, United States",-,351,-
https://www.mastersportal.com/universities/13931/guangdong-university-of-technology.html,Guangdong University of Technology,"Dasha, China",-,-,-
https://www.mastersportal.com/universities/14354/jianghan-university.html,Jianghan University,"Wuhan, China",-,-,-
https://www.mastersportal.com/universities/14780/kuwait-university.html,Kuwait University,"Ash Shamiyah, Kuwait",-,-,-
https://www.mastersportal.com/universities/12003/louisiana-state-university.html,Louisiana State University,"Baton Rouge, United States",-,-,-
https://www.mastersportal.com/universities/721/mines-paristech.html,MINES ParisTech,"Paris, France",-,-,-
https://www.mastersportal.com/universities/13403/nanjing-normal-university.html,Nanjing Normal University,"Nanjing, China",-,-,-
https://www.mastersportal.com/universities/10606/nankai-university.html,Nankai University,"Tianjin, China",-,-,-
https://www.mastersportal.com/universities/385/national-and-kapodistrian-university-of-athens.html,National and Kapodistrian University of Athens,"Athens, Greece",-,201,-
https://www.mastersportal.com/universities/12393/national-central-university.html,National Central University,"Taoyuan City, Taiwan",-,201,-
https://www.mastersportal.com/universities/11828/oklahoma-state-university.html,Oklahoma State University,"Stillwater, United States",-,-,-
https://www.mastersportal.com/universities/71/politecnico-di-torino.html,Politecnico di Torino,"Turin, Italy",-,51,191
https://www.mastersportal.com/universities/13626/cole-polytechnique-de-montral.html,École Polytechnique de Montréal,"Montréal, Canada",-,-,-
https://www.mastersportal.com/universities/1642/poznan-university-of-technology.html,Poznan University of Technology,"Poznan, Poland",-,-,-
https://www.mastersportal.com/universities/13549/toronto-metropolitan-university.html,Toronto Metropolitan University,"Toronto, Canada",-,451,-
https://www.mastersportal.com/universities/324/saarland-university.html,Saarland University,"Saarbrücken, Germany",-,101,-
https://www.mastersportal.com/universities/13112/sharif-university-of-technology.html,Sharif University of Technology,"Tehran, Iran",-,-,162
https://www.mastersportal.com/universities/12786/singapore-management-university.html,Singapore Management University,"Singapore, Singapore",-,201,-
https://www.mastersportal.com/universities/1361/slovak-university-of-technology-in-bratislava.html,Slovak University of Technology in Bratislava,"Bratislava, Slovakia",-,-,-
https://www.mastersportal.com/universities/13115/soochow-university.html,Soochow University,"Taipei, Taiwan",-,-,-
https://www.mastersportal.com/universities/13428/southwest-university-china.html,Southwest University China,"Chongqing, China",-,-,-
https://www.mastersportal.com/universities/536/braunschweig-university-of-technology.html,Braunschweig University of Technology,"Braunschweig, Germany",-,351,-
https://www.mastersportal.com/universities/17267/the-public-university-of-navarre.html,The Public University of Navarre,"Segundo Ensanche, Spain",-,-,-
https://www.mastersportal.com/universities/942/university-of-technology-compiegne.html,University of Technology Compiegne,"Compiègne, France",-,-,-
https://www.mastersportal.com/universities/14133/university-teknologi-malaysia.html,University Teknologi Malaysia,"Sekudai, Malaysia",-,51,198
https://www.mastersportal.com/universities/226/university-of-barcelona.html,University of Barcelona,"Eixample, Spain",-,151,-
https://www.mastersportal.com/universities/12257/university-of-central-florida.html,University of Central Florida,"Alafaya, United States",-,451,-
https://www.mastersportal.com/universities/700/university-of-cordoba.html,University of Cordoba,"Cordova, Spain",-,-,-
https://www.mastersportal.com/universities/1188/university-of-genoa.html,University of Genoa,"Genoa, Italy",-,301,-
https://www.mastersportal.com/universities/12330/the-university-of-iowa.html,The University of Iowa,"Iowa City, United States",-,-,-
https://www.mastersportal.com/universities/13432/university-of-lorraine.html,University of Lorraine,"Maxéville, France",-,-,-
https://www.mastersportal.com/universities/13926/otto-von-guericke-university-magdeburg.html,Otto von Guericke University Magdeburg,"Neue Neustadt, Germany",-,-,-
https://www.mastersportal.com/universities/1046/university-of-malaga.html,University of Malaga,"Málaga, Spain",-,-,-
https://www.mastersportal.com/universities/330/university-of-minho.html,University of Minho,"Braga, Portugal",-,-,-
https://www.mastersportal.com/universities/12106/the-university-of-north-carolina-at-charlotte.html,The University of North Carolina at Charlotte,"Charlotte, United States",-,-,-
https://www.mastersportal.com/universities/409/the-university-of-oviedo.html,The University of Oviedo,"Oviedo, Spain",-,-,-
https://www.mastersportal.com/universities/1637/university-of-patras.html,University of Patras,"Ríon, Greece",-,401,-
https://www.mastersportal.com/universities/322/university-of-perpignan-via-domitia.html,University of Perpignan Via Domitia,"Perpignan, France",-,-,-
https://www.mastersportal.com/universities/1396/university-of-piraeus.html,University of Piraeus,"Piraeus, Greece",-,-,-
https://www.mastersportal.com/universities/13185/university-of-quebec-in-montreal.html,University of Quebec in Montreal,"Montréal, Canada",-,-,-
https://www.mastersportal.com/universities/13949/university-of-science-and-technology-beijing.html,University of Science and Technology Beijing,"Beijing, China",-,451,-
https://www.mastersportal.com/universities/12372/university-sains-malaysia.html,University Sains Malaysia,"George Town, Malaysia",-,51,-
https://www.mastersportal.com/universities/11032/university-of-south-carolina.html,University of South Carolina,"Columbia, United States",-,-,-
https://www.mastersportal.com/universities/11474/university-of-south-florida.html,University of South Florida,"Tampa, United States",-,451,-
https://www.mastersportal.com/universities/786/university-of-strasbourg.html,University of Strasbourg,"Strasbourg, France",-,451,-
https://www.mastersportal.com/universities/1595/university-of-the-basque-country.html,University of the Basque Country,"Lejona, Spain",-,-,-
https://www.mastersportal.com/universities/12177/utah-state-university.html,Utah State University,"Logan, United States",-,-,-
https://www.mastersportal.com/universities/807/warsaw-university-of-technology.html,Warsaw University of Technology,"Warsaw, Poland",-,301,-
https://www.mastersportal.com/universities/11656/yeungnam-university.html,Yeungnam University,"Gyeongsan, South Korea",-,-,-
https://www.mastersportal.com/universities/846/aix-marseille-university.html,Aix-Marseille University,"Marseille, France",-,-,-
https://www.mastersportal.com/universities/763/autonomous-university-of-madrid.html,Autonomous University of Madrid,"Alcobendas, Spain",-,-,-
https://www.mastersportal.com/universities/11967/beijing-normal-university.html,Beijing Normal University,"Beijing, China",-,251,-
https://www.mastersportal.com/universities/55/bilkent-university.html,Bilkent University,"Ankara, Turkey",-,351,-
https://www.mastersportal.com/universities/11904/brigham-young-university.html,Brigham Young University,"Provo, United States",-,451,-
https://www.mastersportal.com/universities/13029/cairo-university.html,Cairo University,"Cairo, Egypt",-,351,-
https://www.mastersportal.com/universities/300/city-university-of-london.html,"City, University of London","London, United Kingdom",-,301,-
https://www.mastersportal.com/universities/11911/curtin-university.html,Curtin University,"Perth, Australia",-,201,-
https://www.mastersportal.com/universities/24/czech-technical-university.html,Czech Technical University (CTU),"Malá Strana, Czech Republic",-,201,-
https://www.mastersportal.com/universities/13052/east-china-university-of-science-and-technology.html,East China University of Science and Technology,"Shangyu, China",-,-,-
,Federal University of Pernambuco,"Freguesia do Ribeirao da Ilha, Brazil",-,301,-
https://www.mastersportal.com/universities/13058/federal-university-of-rio-grande-do-sul.html,Federal University of Rio Grande do Sul,"Porto Alegre, Brazil",-,201,-
https://www.mastersportal.com/universities/13371/federal-university-of-santa-catarina.html,Federal University of Santa Catarina (UFSC),"Araranguá, Brazil",-,351,-
https://www.mastersportal.com/universities/13819/feng-chia-university.html,Feng Chia University,"Taichung, Taiwan",-,401,-
https://www.mastersportal.com/universities/12039/george-mason-university.html,George Mason University,"Fairfax, United States",-,351,-
https://www.mastersportal.com/universities/17230/harbin-engineering-university.html,Harbin Engineering University,"Harbin, China",-,-,-
https://www.mastersportal.com/universities/13075/indian-institute-of-technology-roorkee.html,"Indian Institute of Technology, Roorkee","Roorkee, India",-,301,-
https://www.mastersportal.com/universities/13076/indiana-university-purdue-university-indianapolis.html,Indiana University - Purdue University Indianapolis,"Indianapolis, United States",-,-,-
https://www.mastersportal.com/universities/13079/isfahan-university-of-technology.html,Isfahan University of Technology,"Khomeyni Shahr, Iran",-,-,-
https://www.mastersportal.com/universities/1082/istanbul-technical-university.html,Istanbul Technical University,"Istanbul, Turkey",-,301,-
https://www.mastersportal.com/universities/13080/jilin-university.html,Jilin University,"Changchun, China",-,401,-
https://www.mastersportal.com/universities/13085/king-fahd-university-of-petroleum-minerals.html,King Fahd University of Petroleum & Minerals,"Dhahran, Saudi Arabia",-,201,-
https://www.mastersportal.com/universities/13190/laval-university.html,Laval University,"Québec, Canada",-,-,-
https://www.mastersportal.com/universities/452/loughborough-university.html,Loughborough University,"Loughborough, United Kingdom",-,301,-
https://www.mastersportal.com/universities/11164/macquarie-university.html,Macquarie University,"Sydney, Australia",-,201,-
https://www.mastersportal.com/universities/298/metu-middle-east-technical-university.html,METU Middle East Technical University,"Ankara, Turkey",-,251,-
https://www.mastersportal.com/universities/12905/national-chengchi-university.html,National Chengchi University,"Taipei, Taiwan",-,301,-
https://www.mastersportal.com/universities/15371/national-ilan-university.html,National Ilan University,"Yilan, Taiwan",-,-,-
https://www.mastersportal.com/universities/13767/instituto-politcnico-nacional.html,Instituto Politécnico Nacional,"Mexico City, Mexico",-,151,-
,Institut National Polytechnique de Toulouse,"Toulouse, France",-,-,-
https://www.mastersportal.com/universities/171/universidade-nova-de-lisboa.html,Universidade Nova de Lisboa,"Lisbon, Portugal",-,-,-
https://www.mastersportal.com/universities/12101/oregon-state-university.html,Oregon State University,"Corvallis, United States",-,-,-
https://www.mastersportal.com/universities/1606/university-paris-dauphine.html,University Paris Dauphine,"Paris, France",-,351,-
https://www.mastersportal.com/universities/11767/pohang-university-of-science-and-technology.html,Pohang University of Science and Technology (Postech),"Enjitsu, South Korea",-,51,-
https://www.mastersportal.com/universities/12100/rochester-institute-of-technology.html,Rochester Institute of Technology,"Rochester, United States",-,-,-
https://www.mastersportal.com/universities/13154/roma-tre-university.html,Roma Tre University,"Roma, Italy",-,401,-
https://www.mastersportal.com/universities/145/swansea-university.html,Swansea University,"Swansea, United Kingdom",-,-,-
,Tampere University of Technology,"Tampere, Finland",-,301,-
https://www.mastersportal.com/universities/14355/tarbiat-modares-university.html,Tarbiat Modares University,"Tehran, Iran",-,-,-
https://www.mastersportal.com/universities/12063/the-university-of-new-mexico.html,The University of New Mexico,"Albuquerque, United States",-,401,-
https://www.mastersportal.com/universities/1554/universidad-nacional-de-educacin-a-distancia.html,Universidad Nacional de Educación a Distancia (UNED),"Madrid, Spain",-,-,-
,Universidade da Coruña,"Corunna, Spain",-,-,-
https://www.mastersportal.com/universities/219/university-college-cork.html,University College Cork,"Cork, Ireland",-,201,-
https://www.mastersportal.com/universities/793/university-of-the-aegean.html,University of the Aegean,"Mytilíni, Greece",-,-,-
https://www.mastersportal.com/universities/1245/university-of-alcal.html,University of Alcalá,"Alcalá de Henares, Spain",-,-,-
https://www.mastersportal.com/universities/772/universidade-de-aveiro.html,Universidade de Aveiro,"Aveiro, Portugal",-,-,-
https://www.mastersportal.com/universities/943/university-of-belgrade.html,University of Belgrade,"Belgrade, Serbia",-,-,-
https://www.mastersportal.com/universities/11374/university-of-bordeaux.html,University of Bordeaux,"Bordeaux, France",-,451,-
https://www.mastersportal.com/universities/11122/university-of-cantabria.html,University of Cantabria,"Santander, Spain",-,-,-
https://www.mastersportal.com/universities/12621/university-of-canterbury.html,University of Canterbury,"Christchurch, New Zealand",-,151,-
https://www.mastersportal.com/universities/13226/universidad-de-castilla-la-mancha.html,Universidad de Castilla la Mancha,"Toledo, Spain",-,-,-
https://www.mastersportal.com/universities/12354/university-of-connecticut.html,University of Connecticut,"Storrs, United States",-,401,-
https://www.mastersportal.com/universities/302/the-university-of-exeter.html,The University of Exeter,"Exeter, United Kingdom",-,451,-
https://www.mastersportal.com/universities/12341/university-of-kentucky.html,University of Kentucky,"Lexington, United States",-,-,-
https://www.mastersportal.com/universities/241/leipzig-university.html,Leipzig University,"Leipzig, Germany",-,301,-
https://www.mastersportal.com/universities/12317/university-of-maryland-baltimore-county.html,University of Maryland Baltimore County (UMBC),"Catonsville, United States",-,451,-
https://www.mastersportal.com/universities/622/university-of-milano-bicocca.html,University of Milano - Bicocca,"Sesto San Giovanni, Italy",-,301,-
https://www.mastersportal.com/universities/13145/university-of-missouri-columbia.html,University of Missouri - Columbia,"Columbia, United States",-,-,-
https://www.mastersportal.com/universities/30/universit-nice-sophia-antipolis.html,Université Nice Sophia Antipolis,"Nice, France",-,401,-
https://www.mastersportal.com/universities/13150/university-of-palermo.html,University of Palermo,"Palermo, Italy",-,-,-
https://www.mastersportal.com/universities/17243/university-of-perugia.html,University of Perugia,"Perugia, Italy",-,-,-
https://www.mastersportal.com/universities/433/university-of-rennes.html,University of Rennes,"Rennes, France",-,-,-
https://www.mastersportal.com/universities/11741/university-of-rochester.html,University of Rochester,"Rochester, United States",-,351,-
https://www.mastersportal.com/universities/559/university-of-turin.html,University of Turin,"Turin, Italy",-,351,-
https://www.mastersportal.com/universities/1409/ulster-university.html,Ulster University,"Coleraine, United Kingdom",-,-,-
https://www.mastersportal.com/universities/372/university-of-valencia.html,University of Valencia,"Valencia, Spain",-,-,-
https://www.mastersportal.com/universities/958/university-of-vigo.html,University of Vigo,"Vigo, Spain",-,-,-
https://www.mastersportal.com/universities/14215/university-of-windsor.html,University of Windsor,"Windsor, Canada",-,-,-
https://www.mastersportal.com/universities/11949/university-of-wisconsin-milwaukee.html,University of Wisconsin Milwaukee,"Milwaukee, United States",-,-,-
,Paris Diderot University,"Paris, France",-,301,-
https://www.mastersportal.com/universities/13405/university-putra-malaysia.html,University Putra Malaysia,"Kampong Baharu Balakong, Malaysia",-,101,-
https://www.mastersportal.com/universities/663/wroclaw-university-of-science-and-technology.html,Wroclaw University of Science and Technology,"Wroclaw, Poland",-,351,-
https://www.mastersportal.com/universities/11921/york-university.html,York University,"Toronto, Canada",-,251,-
https://www.mastersportal.com/universities/14048/yuan-ze-university.html,Yuan Ze University,"Taoyuan City, Taiwan",-,-,-
https://www.mastersportal.com/universities/13937/zhejiang-university-of-technology.html,Zhejiang University of Technology,"Hangzhou, China",-,-,-
https://www.mastersportal.com/universities/13993/nanjing-university-of-information-science-and-technology.html,Nanjing University of Information Science and Technology,"Nanjing, China",-,-,-
https://www.mastersportal.com/universities/12899/national-university-of-defense-technology.html,National University of Defense Technology,"Changsha, China",-,-,96
https://www.mastersportal.com/universities/11753/new-york-university.html,New York University,"New York City, United States",-,32,63
https://www.mastersportal.com/universities/785/sorbonne-university.html,Sorbonne University,"Paris, France",-,201,93
https://www.mastersportal.com/universities/12153/xidian-university.html,Xidian University,"Xi'an, China",-,301,54
https://www.mastersportal.com/universities/11965/beihang-university.html,Beihang University,"Beijing, China",-,251,75
